,y,a
467,2014-02-07,181258
468,2014-02-08,181535
469,2014-02-09,181817
470,2014-02-10,182036
471,2014-02-11,182272
472,2014-02-12,182504
473,2014-02-13,182664
474,2014-02-14,182867
475,2014-02-15,183075
476,2014-02-16,183310
477,2014-02-17,183527
478,2014-02-18,183865
479,2014-02-19,184159
480,2014-02-20,184584
481,2014-02-21,184910
482,2014-02-22,185115
483,2014-02-23,185329
484,2014-02-24,185571
485,2014-02-25,185860
486,2014-02-26,186191
487,2014-02-27,186451
488,2014-02-28,186646
489,2014-03-01,186860
490,2014-03-02,187111
491,2014-03-03,187342
492,2014-03-04,187552
493,2014-03-05,187807
494,2014-03-06,187993
495,2014-03-07,188127
496,2014-03-08,188286
497,2014-03-08,188519
498,2014-03-09,188598
499,2014-03-10,188678
500,2014-03-11,188866
501,2014-03-12,189111
502,2014-03-13,189299
503,2014-03-14,189437
504,2014-03-15,189638
505,2014-03-16,189968
506,2014-03-17,190159
507,2014-03-18,190344
508,2014-03-19,190623
509,2014-03-20,190830
510,2014-03-21,191021
511,2014-03-22,191350
512,2014-03-23,191728
513,2014-03-24,191950
514,2014-03-25,192183
515,2014-03-26,192427
516,2014-03-27,192588
517,2014-03-28,192744
518,2014-03-29,192951
519,2014-03-30,193222
520,2014-03-31,193421
521,2014-04-01,193696
522,2014-04-02,194044
523,2014-04-03,194305
524,2014-04-04,194472
525,2014-04-05,194655
526,2014-04-06,194920
527,2014-04-07,195144
528,2014-04-08,195465
529,2014-04-09,195796
530,2014-04-10,196052
531,2014-04-11,196217
532,2014-04-12,196388
533,2014-04-13,196745
534,2014-04-14,197017
535,2014-04-15,197254
536,2014-04-16,197614
537,2014-04-17,197891
538,2014-04-18,198070
539,2014-04-19,198319
540,2014-04-20,198648
541,2014-04-21,198997
542,2014-04-22,199404
543,2014-04-23,199741
544,2014-04-24,200035
545,2014-04-25,200464
546,2014-04-26,201012
547,2014-04-27,201464
548,2014-04-28,201759
549,2014-04-29,202180
550,2014-04-30,202529
551,2014-05-01,202846
552,2014-05-02,203040
553,2014-05-03,203255
554,2014-05-04,203527
555,2014-05-05,203790
556,2014-05-06,204037
557,2014-05-07,204414
558,2014-05-08,204672
559,2014-05-09,204948
560,2014-05-10,205268
561,2014-05-11,205646
562,2014-05-12,205921
563,2014-05-13,206189
564,2014-05-14,206406
565,2014-05-15,206644
566,2014-05-16,206887
567,2014-05-17,207187
568,2014-05-18,207432
569,2014-05-19,207663
570,2014-05-20,207883
571,2014-05-21,208116
572,2014-05-22,208361
573,2014-05-23,208573
574,2014-05-24,209053
575,2014-05-25,209373
576,2014-05-26,209653
577,2014-05-27,209917
578,2014-05-28,210261
579,2014-05-29,210542
580,2014-05-30,210750
581,2014-05-31,211060
582,2014-06-01,211512
583,2014-06-02,211876
584,2014-06-03,212225
585,2014-06-04,212652
586,2014-06-05,212978
587,2014-06-06,213296
588,2014-06-07,213680
589,2014-06-08,214223
590,2014-06-09,214669
591,2014-06-10,215268
592,2014-06-11,215951
593,2014-06-12,219574
594,2014-06-13,223486
595,2014-06-14,226024
596,2014-06-15,228206
597,2014-06-16,231431
598,2014-06-17,233302
599,2014-06-18,235194
600,2014-06-19,236366
601,2014-06-20,237268
602,2014-06-21,238253
603,2014-06-22,239838
604,2014-06-23,241028
605,2014-06-24,242245
606,2014-06-25,243064
607,2014-06-26,244437
608,2014-06-27,244785
609,2014-06-28,245545
610,2014-06-29,246644
611,2014-06-30,247344
612,2014-07-01,248561
613,2014-07-02,249089
614,2014-07-03,249337
615,2014-07-04,249920
616,2014-07-05,250595
617,2014-07-06,250984
618,2014-07-07,251295
619,2014-07-08,252745
620,2014-07-09,254064
621,2014-07-10,254421
622,2014-07-11,254689
623,2014-07-12,255120
624,2014-07-13,255946
625,2014-07-14,256273
626,2014-07-15,256472
627,2014-07-16,256634
628,2014-07-17,256716
629,2014-07-18,256828
630,2014-07-19,256901
631,2014-07-20,257121
632,2014-07-21,257357
633,2014-07-22,257601
634,2014-07-23,257768
635,2014-07-24,257981
636,2014-07-25,258186
637,2014-07-26,258373
638,2014-07-27,258645
639,2014-07-28,258943
640,2014-07-29,259245
641,2014-07-30,259621
642,2014-07-31,259951
643,2014-08-01,260215
644,2014-08-02,260518
645,2014-08-03,260860
646,2014-08-04,261198
647,2014-08-05,261531
648,2014-08-06,261834
649,2014-08-07,262370
650,2014-08-08,262649
651,2014-08-09,262913
652,2014-08-10,263282
653,2014-08-11,263791
654,2014-08-12,264144
655,2014-08-13,264547
656,2014-08-14,264754
657,2014-08-15,264964
658,2014-08-16,265445
659,2014-08-17,265895
660,2014-08-18,266430
661,2014-08-19,266798
662,2014-08-20,267149
663,2014-08-21,267432
664,2014-08-22,267770
665,2014-08-23,268120
666,2014-08-24,268429
667,2014-08-25,268833
668,2014-08-26,269265
669,2014-08-27,269682
670,2014-08-28,270101
671,2014-08-29,270397
672,2014-08-30,270747
673,2014-08-31,271204
674,2014-09-01,271763
675,2014-09-02,272225
676,2014-09-03,272570
677,2014-09-04,272922
678,2014-09-05,273225
679,2014-09-06,273513
680,2014-09-07,273795
681,2014-09-08,274129
682,2014-09-09,274429
683,2014-09-10,274658
684,2014-09-11,274854
685,2014-09-12,275055
686,2014-09-13,275314
