,y,a
482,2014-02-23,214
483,2014-02-24,242
484,2014-02-25,289
485,2014-02-26,331
486,2014-02-27,260
487,2014-02-28,195
488,2014-03-01,214
489,2014-03-02,251
490,2014-03-03,231
491,2014-03-04,210
492,2014-03-05,255
493,2014-03-06,186
494,2014-03-07,134
495,2014-03-08,159
496,2014-03-08,233
497,2014-03-09,79
498,2014-03-10,80
499,2014-03-11,188
500,2014-03-12,245
501,2014-03-13,188
502,2014-03-14,138
503,2014-03-15,201
504,2014-03-16,330
505,2014-03-17,191
506,2014-03-18,185
507,2014-03-19,279
508,2014-03-20,207
509,2014-03-21,191
510,2014-03-22,329
511,2014-03-23,378
512,2014-03-24,222
513,2014-03-25,233
514,2014-03-26,244
515,2014-03-27,161
516,2014-03-28,156
517,2014-03-29,207
518,2014-03-30,271
519,2014-03-31,199
520,2014-04-01,275
521,2014-04-02,348
522,2014-04-03,261
523,2014-04-04,167
524,2014-04-05,183
525,2014-04-06,265
526,2014-04-07,224
527,2014-04-08,321
528,2014-04-09,331
529,2014-04-10,256
530,2014-04-11,165
531,2014-04-12,171
532,2014-04-13,357
533,2014-04-14,272
534,2014-04-15,237
535,2014-04-16,360
536,2014-04-17,277
537,2014-04-18,179
538,2014-04-19,249
539,2014-04-20,329
540,2014-04-21,349
541,2014-04-22,407
542,2014-04-23,337
543,2014-04-24,294
544,2014-04-25,429
545,2014-04-26,548
546,2014-04-27,452
547,2014-04-28,295
548,2014-04-29,421
549,2014-04-30,349
550,2014-05-01,317
551,2014-05-02,194
552,2014-05-03,215
553,2014-05-04,272
554,2014-05-05,263
555,2014-05-06,247
556,2014-05-07,377
557,2014-05-08,258
558,2014-05-09,276
559,2014-05-10,320
560,2014-05-11,378
561,2014-05-12,275
562,2014-05-13,268
563,2014-05-14,217
564,2014-05-15,238
565,2014-05-16,243
566,2014-05-17,300
567,2014-05-18,245
568,2014-05-19,231
569,2014-05-20,220
570,2014-05-21,233
571,2014-05-22,245
572,2014-05-23,212
573,2014-05-24,480
